time,sensing_steps,hit_count,miss_rate,mean_candidate_cell_count,mean_hit_axis_error_deg,mean_local_continuity_axis_change_deg
8706,88,88,0.0,5.693181818181818,45.2586095031368,17.512162327281718
8707,88,88,0.0,5.693181818181818,43.078660225980556,14.495988906124138
8708,88,88,0.0,5.681818181818182,45.606945514445826,17.069552318965098
8709,88,88,0.0,5.6022727272727275,44.97140049138118,15.61379069783834
8710,88,88,0.0,5.693181818181818,46.407471417279595,13.488472216903132
8711,88,88,0.0,5.693181818181818,49.86547746830686,16.40062604715191
8712,88,88,0.0,5.545454545454546,49.43390493907425,15.535055344329159
8713,88,86,0.022727272727272728,5.534090909090909,49.11273909187142,10.473660657772683
8714,88,87,0.011363636363636364,5.556818181818182,49.42116482700904,11.251565937808705
8715,88,86,0.022727272727272728,5.670454545454546,45.277278511366404,13.20943303438215
8716,88,86,0.022727272727272728,5.534090909090909,45.59160080493725,14.872643869175173
8717,88,86,0.022727272727272728,5.386363636363637,48.51468697181374,13.553019817363408
8718,88,86,0.022727272727272728,5.363636363636363,42.381696149817664,15.239039486443522
8719,88,86,0.022727272727272728,5.386363636363637,42.74922822239773,15.399601967953865
8720,88,86,0.022727272727272728,5.375,43.665889922355966,9.980644640973363
8721,88,86,0.022727272727272728,5.443181818181818,44.402466147141894,13.027289899763668
8722,88,86,0.022727272727272728,5.318181818181818,44.561274682123845,13.521327013986818
8723,88,85,0.03409090909090909,5.295454545454546,44.54223867628197,12.212189308510332
8724,88,86,0.022727272727272728,5.170454545454546,45.62970876397526,11.247328967170326
8725,88,86,0.022727272727272728,5.284090909090909,46.53860118375638,9.255073323430578
8726,88,86,0.022727272727272728,5.545454545454546,42.749818386615644,10.261472029229699
8727,88,87,0.011363636363636364,5.579545454545454,43.73431541206829,10.890483118362889
8728,88,86,0.022727272727272728,5.545454545454546,40.45259518595959,13.468204883975291
8729,88,87,0.011363636363636364,5.568181818181818,45.270916277007856,13.510360870699152
8730,88,87,0.011363636363636364,5.613636363636363,46.274464068388916,10.582754207140805
8731,88,87,0.011363636363636364,5.556818181818182,47.422509587193865,12.007804812646771
8732,88,87,0.011363636363636364,5.613636363636363,47.08216399850426,13.479521495437757
8733,88,87,0.011363636363636364,5.6022727272727275,47.59040099571367,14.534835165776274
8734,88,87,0.011363636363636364,5.386363636363637,47.49765933847126,8.723768152058915
8735,88,86,0.022727272727272728,5.340909090909091,48.00018289049402,11.469813471017066
8736,88,85,0.03409090909090909,5.306818181818182,45.145791404939104,11.426259743470387
8737,88,85,0.03409090909090909,5.375,44.241220441540364,10.974523298098838
8738,88,85,0.03409090909090909,5.420454545454546,44.01445986695871,9.905293929741022
8739,88,85,0.03409090909090909,5.443181818181818,45.53453960534315,11.271098441428784
8740,88,85,0.03409090909090909,5.3977272727272725,45.68795200305024,12.565204056472261
8741,88,85,0.03409090909090909,5.329545454545454,43.56384756201442,11.979625816150083
8742,88,85,0.03409090909090909,5.261363636363637,45.07355072220214,13.01726155164154
8743,88,85,0.03409090909090909,5.25,46.82882031133954,13.59617099939018
8744,88,85,0.03409090909090909,5.25,49.885907517451116,14.065051861595173
8745,88,85,0.03409090909090909,5.420454545454546,47.02559369819612,12.56373685563176
8746,88,85,0.03409090909090909,5.340909090909091,45.077305906890956,10.761966150636404
8747,88,85,0.03409090909090909,5.3522727272727275,42.032765887019536,12.618151421976563
8748,88,85,0.03409090909090909,5.318181818181818,44.598821671861806,13.377290802995386
8749,88,85,0.03409090909090909,5.443181818181818,43.57000398023128,15.646541045262296
8750,88,85,0.03409090909090909,5.375,44.17428239954215,14.518891018386407
8751,88,85,0.03409090909090909,5.443181818181818,43.80770196659895,13.536483169683938
8752,88,86,0.022727272727272728,5.4772727272727275,42.347860672542055,12.627177129910162
8753,88,86,0.022727272727272728,5.465909090909091,45.2388338532723,17.238808375958833
8754,88,86,0.022727272727272728,5.329545454545454,47.50012504678003,12.563444089534554
8755,88,86,0.022727272727272728,5.125,44.951761051188946,12.503755017102556
8756,88,86,0.022727272727272728,5.238636363636363,45.08177145525234,12.859442194355362
8757,88,86,0.022727272727272728,5.420454545454546,45.33373855678781,12.015335841342223
8758,88,86,0.022727272727272728,5.443181818181818,44.69974656549064,12.631251238502518
8759,88,86,0.022727272727272728,5.431818181818182,43.238085874066684,14.092384183470937
8760,88,86,0.022727272727272728,5.3522727272727275,42.64071540260932,15.619459706910941
8761,88,85,0.03409090909090909,5.3977272727272725,44.02381487661795,13.363095036323706
8762,88,85,0.03409090909090909,5.25,43.281220595722885,11.897256698785506
8763,88,85,0.03409090909090909,5.386363636363637,42.46505261161694,13.683385521585944
8764,88,85,0.03409090909090909,5.306818181818182,45.14203039429772,16.303926895811056
8765,88,85,0.03409090909090909,5.2727272727272725,44.298949032059866,13.689957866239071
8766,88,85,0.03409090909090909,5.363636363636363,44.76296844123377,15.606470644756998
8767,88,85,0.03409090909090909,5.420454545454546,45.42722045874022,12.70112558961707
8768,88,85,0.03409090909090909,5.4772727272727275,43.867003307969064,12.50655616273131
8769,88,86,0.022727272727272728,5.409090909090909,50.014147437385716,14.13163081799406
8770,88,86,0.022727272727272728,5.318181818181818,47.607707914826555,11.143856496324638
8771,88,86,0.022727272727272728,5.2272727272727275,44.73355337691931,10.65929935988274
8772,88,84,0.045454545454545456,5.318181818181818,44.810474453476075,11.618392712015801
8773,88,84,0.045454545454545456,5.386363636363637,43.16869969994877,13.072756053816349
8774,88,85,0.03409090909090909,5.340909090909091,41.27521349929484,18.94926308246828
8775,88,85,0.03409090909090909,5.295454545454546,44.003459611793645,15.141345827191639
8776,88,85,0.03409090909090909,5.329545454545454,40.65181972596469,11.471818767247514
8777,88,85,0.03409090909090909,5.375,43.97872535763289,14.763859996942932
8778,88,85,0.03409090909090909,5.295454545454546,42.71349455446741,14.647718642274953
8779,88,85,0.03409090909090909,5.215909090909091,42.104771852697255,10.810225786498876
8780,88,85,0.03409090909090909,5.318181818181818,43.18247876613292,13.33345202027702
8781,88,85,0.03409090909090909,5.409090909090909,43.28668856151716,12.733744671782313
8782,88,85,0.03409090909090909,5.431818181818182,42.57124134332563,10.54534541254574
8783,88,85,0.03409090909090909,5.363636363636363,43.37620766148803,12.613368336746415
8784,88,85,0.03409090909090909,5.3977272727272725,41.68355789495734,10.6500501638281
8785,88,83,0.056818181818181816,5.2727272727272725,42.240251556907424,16.710297864484463
8786,88,83,0.056818181818181816,5.431818181818182,42.271174090474474,11.995330029038266
8787,88,83,0.056818181818181816,5.329545454545454,40.54379350901906,13.513843718260361
8788,88,83,0.056818181818181816,5.386363636363637,41.58223372166397,12.374321391037382
8789,88,84,0.045454545454545456,5.238636363636363,43.3134147045071,13.943813099075948
8790,88,85,0.03409090909090909,5.3977272727272725,44.92416526705201,13.804350879031537
8791,88,85,0.03409090909090909,5.261363636363637,39.621261972327865,12.637974875688036
8792,88,85,0.03409090909090909,5.170454545454546,39.29682236322941,14.350070447280135
8793,88,85,0.03409090909090909,5.181818181818182,41.562020291671864,13.975185925983522
8794,88,85,0.03409090909090909,5.2272727272727275,40.280491994438435,16.57414659333503
8795,88,85,0.03409090909090909,5.238636363636363,44.02531596061392,14.071159167409416
8796,88,84,0.045454545454545456,5.204545454545454,43.31852479503794,15.121661500565123
8797,88,84,0.045454545454545456,5.318181818181818,44.537775007172044,16.087706724492595
8798,88,83,0.056818181818181816,5.215909090909091,42.40178051555952,16.69938558906227
8799,88,83,0.056818181818181816,5.113636363636363,40.52289243649331,14.762503067482223
8800,88,84,0.045454545454545456,5.159090909090909,41.939325344498705,12.733760397238287
8801,88,84,0.045454545454545456,5.261363636363637,44.76815269967912,13.78398366874388
8802,88,84,0.045454545454545456,5.329545454545454,42.102583667417356,14.305796103516846
8803,88,84,0.045454545454545456,5.2727272727272725,41.16352452983188,16.57230435193891
8804,88,83,0.056818181818181816,5.261363636363637,45.80474419088837,14.320488050419419
8805,88,84,0.045454545454545456,5.2727272727272725,44.225633237039645,12.855838414481356
8806,88,84,0.045454545454545456,5.193181818181818,50.015367992362414,13.056978572477043
8807,88,84,0.045454545454545456,5.215909090909091,42.49172865657,12.14702799686711
8808,88,84,0.045454545454545456,5.295454545454546,45.91178711287074,15.217883989928705
8809,88,84,0.045454545454545456,5.329545454545454,40.398493637729324,14.63557973878009
8810,88,85,0.03409090909090909,5.295454545454546,42.805122158365215,17.193509492791534
8811,88,86,0.022727272727272728,5.420454545454546,40.52692436690407,13.237208587786293
8812,88,86,0.022727272727272728,5.2272727272727275,41.45514438272141,13.57810785642714
8813,88,86,0.022727272727272728,5.159090909090909,44.73138467236734,15.130063643590548
8814,88,86,0.022727272727272728,5.193181818181818,45.47198066813911,12.103053701718302
8815,88,86,0.022727272727272728,5.090909090909091,44.065040500025205,13.002082808210174
8816,88,86,0.022727272727272728,5.204545454545454,42.07896622486386,12.175139517003382
8817,88,86,0.022727272727272728,5.125,44.624377976161924,13.743999835308788
8818,88,86,0.022727272727272728,5.068181818181818,42.64447386576392,13.372112258749649
8819,88,86,0.022727272727272728,5.193181818181818,44.934812131047885,11.533227412326724
8820,88,86,0.022727272727272728,5.159090909090909,43.35665292565466,13.98317185155612
8821,88,86,0.022727272727272728,5.136363636363637,46.36777913459232,13.887997354476353
8822,88,86,0.022727272727272728,5.045454545454546,45.107766853550196,14.254130974910913
8823,88,86,0.022727272727272728,4.943181818181818,42.94879455305754,14.045658992567349
8824,88,86,0.022727272727272728,5.1022727272727275,45.89138010779093,12.37989445087838
8825,88,86,0.022727272727272728,5.113636363636363,45.404159861226134,12.599530338869911
8826,88,86,0.022727272727272728,5.0,47.37777071875036,15.568484812218848
