time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3831,forager,14,0.7853981633974483,0.7492675732757276,0.8748712800770512,1.2083753935128754,42.92986967470834,50.126431965622814,69.23481011574779,-0.08130844630421555,0.3976280048398139,-0.12520278716890546,0.3705345391095597,False,
3831,transporter,16,0.7853981633974483,0.5872501925238066,0.4701033060127418,1.5278658812899208,33.64695754985917,26.93493536967712,87.54026665994851,0.026337373883157614,0.4364167443312042,-0.014570895578111503,0.27815845299237735,False,
3831,follower,70,0.7853981633974483,0.7306809224198758,0.7853981633974483,1.3177808621481377,41.864933025384815,45.0,75.50328172419923,-0.012412384837489403,0.4086172727872499,0.01602428207082254,0.36734601228311464,False,
3832,forager,14,0.7853981633974483,0.8921106137613259,0.7936327572533729,1.4040455416728328,51.11417302734947,45.471807473948836,80.44588378201287,-0.08298111462886906,0.34509817148049454,-0.17428744713660027,0.4277283433858088,False,
3832,transporter,16,0.7853981633974483,0.6761782163786896,0.7042461638989683,1.559546437435674,38.742157997182666,40.35033292968932,89.35542881972741,0.03146606205273352,0.4014260884337371,0.013112422614252738,0.31493655822401523,False,
3832,follower,70,0.7853981633974483,0.7639211665902269,0.7853981633974483,1.344766553351656,43.76945872633027,45.0,77.04944793740414,-0.01128975071469134,0.4016528292178694,-0.0034480505330991436,0.38415756547486746,False,
3833,forager,14,0.7853981633974483,0.7925601007630343,0.8491454850905538,1.2360802691095298,45.410348784185125,48.6524524882777,70.82218255937109,-0.036528198527178334,0.39155799795750257,-0.23666270501161785,0.3990396294239818,False,
3833,transporter,16,0.7853981633974483,0.6812809577973462,0.7042461638989754,1.5595464374356736,39.03452354441829,40.350332929689735,89.3554288197274,0.0286820977172983,0.4015016971199007,0.010029051472600355,0.3180199293656669,False,
3833,follower,70,0.7853981633974483,0.7518877462373853,0.7853981633974483,1.3435055166545753,43.079994527005624,45.0,76.9771958568503,-0.004347229259831378,0.4050862193865084,0.0050220699127615145,0.3796125797128791,False,
3834,forager,14,0.7853981633974483,0.8617296729518367,0.815608501812799,1.4301255156973216,49.373473341328975,46.73092488886154,81.9401562234269,-0.1398751189492717,0.3485824059786941,-0.21806717550159882,0.40973075057680736,False,
3834,transporter,16,0.7853981633974483,0.6352052172206576,0.6647751814337144,1.4214130709169224,36.39457807143436,38.0888122211954,81.44096990826924,0.060237316321739995,0.4229794871044503,0.006905572706092041,0.30441253734998686,False,
3834,follower,70,0.7853981633974483,0.8023003263235511,0.7853981633974483,1.366507850764412,45.96842260030818,45.0,78.29513252029375,-0.0012130805080702864,0.38160025335533626,0.016625074225749208,0.3961254042129337,False,
3835,forager,14,0.7853981633974483,0.9602396566267484,0.9127413568033749,1.467478723602555,55.01767964580405,52.29622753187777,84.08033738767146,-0.06214877135826561,0.31940959670016555,-0.28479714977189313,0.45647957695820274,False,
3835,transporter,16,0.7853981633974483,0.6010724177121043,0.4511020538670874,1.3860695557835665,34.438912716628046,25.846243816267226,79.41593565797119,0.08154234875615422,0.4442845195388637,0.049259626007882015,0.2951467992649615,False,
3835,follower,70,0.7853981633974483,0.758849430855507,0.7853981633974483,1.3626359522748925,43.47886967392514,45.0,78.07328907814122,0.0013913512834651705,0.3992078343010511,0.0036305319244210417,0.3781499346506265,False,
